Mi-tesis,mar, 16 jun. 2026 00:54:22 PET
Method,CogC,ev(G),iv(G),LOC,V,v(G)
com.tesis.automation.clients.BaseApiClient.BaseApiClient(),1,1,2,13,66,2
com.tesis.automation.clients.BaseApiClient.get(String),0,1,1,11,51,1
"com.tesis.automation.clients.BaseApiClient.get(String, String, String)",0,1,1,12,76,1
com.tesis.automation.clients.BaseApiClient.logResponse(Response),0,1,1,6,36,1
"com.tesis.automation.clients.BaseApiClient.post(String, Object)",0,1,1,13,79,1
"com.tesis.automation.clients.BaseApiClient.postWithQuery(String, String, String, Object)",1,1,2,14,150,2
"com.tesis.automation.clients.BaseApiClient.put(String, Object)",0,1,1,13,79,1
com.tesis.automation.clients.BaseApiClient.resolveBaseUrl(),4,1,4,20,118,5
"com.tesis.automation.clients.CartApiClient.addItemToCart(String, Object)",0,1,1,11,55,1
com.tesis.automation.clients.CartApiClient.getOrCreateCart(),0,1,1,10,31,1
com.tesis.automation.clients.CartApiClient.performCheckout(String),0,1,1,10,50,1
"com.tesis.automation.clients.CartApiClient.setShippingAddress(String, String, Object)",0,1,1,11,64,1
com.tesis.automation.clients.CatalogApiClient.getCategories(),0,1,1,10,31,1
com.tesis.automation.clients.CatalogApiClient.getProductDetails(String),0,1,1,11,50,1
com.tesis.automation.clients.CatalogApiClient.searchProducts(String),0,1,1,10,44,1
"com.tesis.automation.clients.CheckoutApiClient.addPaymentToOrder(String, Object)",0,1,1,10,50,1
com.tesis.automation.clients.CheckoutApiClient.getOrderDetails(String),0,1,1,11,50,1
com.tesis.automation.hooks.CommonHooks.setup(),0,1,1,8,33,1
com.tesis.automation.hooks.CommonHooks.teardown(),0,1,1,8,35,1
com.tesis.automation.steps.CartSteps.captureCartId(),0,1,1,8,73,1
com.tesis.automation.steps.CartSteps.captureJsonPath(String),2,1,2,12,133,2
com.tesis.automation.steps.CartSteps.fieldExistsInCart(String),0,1,1,5,43,1
com.tesis.automation.steps.CartSteps.userAddsItemToCart(int),0,1,1,12,178,1
com.tesis.automation.steps.CartSteps.userGetsNewCart(),0,1,1,10,115,1
com.tesis.automation.steps.CartSteps.validateItemCount(int),0,1,1,5,48,1
com.tesis.automation.steps.CatalogSteps.captureSkuId(),0,1,1,8,73,1
com.tesis.automation.steps.CatalogSteps.userGetsProductDetails(String),0,1,1,5,28,1
com.tesis.automation.steps.CatalogSteps.userSearchesProduct(String),0,1,1,10,161,1
com.tesis.automation.steps.CatalogSteps.validateProductFound(int),0,1,1,5,58,1
com.tesis.automation.steps.CheckoutSteps.userConfiguresShippingAddress(),0,1,1,11,122,1
com.tesis.automation.steps.CheckoutSteps.userPerformsCheckout(),0,1,1,9,101,1
com.tesis.automation.steps.CheckoutSteps.userTriesToAddInvalidProduct(),0,1,1,4,4,1
com.tesis.automation.steps.CheckoutSteps.validateAgainstSchema(String),0,1,1,7,72,1
com.tesis.automation.steps.CheckoutSteps.validateOrderNumber(),0,1,1,6,85,1
com.tesis.automation.steps.CheckoutSteps.validateOrderProcessed(),0,1,1,5,43,1
com.tesis.automation.steps.CheckoutSteps.validateOrderStatus(String),0,1,1,5,43,1
com.tesis.automation.steps.CheckoutSteps.validateShippingAddressSet(),0,1,1,6,48,1
com.tesis.automation.steps.CommonSteps.apiIsAvailableAt(String),0,1,1,5,15,1
com.tesis.automation.steps.CommonSteps.decorativeGet(String),0,1,1,2,4,1
com.tesis.automation.steps.CommonSteps.decorativePost(String),0,1,1,2,4,1
com.tesis.automation.steps.CommonSteps.decorativePut(String),0,1,1,2,4,1
"com.tesis.automation.steps.CommonSteps.fieldEqualsDouble(String, double)",0,1,1,5,48,1
"com.tesis.automation.steps.CommonSteps.fieldEqualsInt(String, int)",0,1,1,5,48,1
"com.tesis.automation.steps.CommonSteps.fieldEqualsString(String, String)",0,1,1,5,43,1
com.tesis.automation.steps.CommonSteps.fieldExists(String),0,1,1,5,43,1
com.tesis.automation.steps.CommonSteps.fieldIsNotNull(String),0,1,1,5,43,1
com.tesis.automation.steps.CommonSteps.fieldIsTrue(String),0,1,1,5,43,1
